colony,min_lay,min_subset,max_subset
Alkefjellet,08-Jun,25-May,18-Aug
Anda,19-May,05-May,29-Jul
Runde and Alesund,19-May,05-May,29-Jul
Bjørnøya,28-May,14-May,07-Aug
Cape Krutik,20-May,06-May,30-Jul
Faroe Islands,03-May,19-Apr,13-Jul
Franz Josef Land,07-Jun,24-May,17-Aug
Hornøya,30-Apr,16-Apr,10-Jul
Isfjorden,08-Jun,25-May,18-Aug
Isle of Canna,25-Apr,11-Apr,05-Jul
Isle of May,25-Apr,11-Apr,05-Jul
Kara Gate,15-Jun,01-Jun,25-Aug
Kippaku,28-May,14-May,07-Aug
Kongsfjorden,05-Jun,22-May,15-Aug
Langanes,28-May,14-May,07-Aug
Skjalfandi,28-May,14-May,07-Aug
Sermilinnguaq,28-May,14-May,07-Aug
Rockabill,09-May,25-Apr,19-Jul
Røst,10-Apr,27-Mar,20-Jun
Runde and Ålesund,30-May,16-May,09-Aug
Russkaya Gavan,15-Jun,01-Jun,25-Aug
Sklinna,25-Apr,11-Apr,05-Jul
Witless Bay,21-May,07-May,31-Jul
