colony,ID
Alkefjellet,BLKI180_2018
Anda,BLKI250_2017
Bjørnøya,BLKI342_2016
Cape Krutik,BLKI483_2014
Faroe Islands,BLKI406_2016
Franz Josef Land,BLKI853_2016
Hornøya,BLKI233_2019
Isfjorden,BLKI713_2019
Isle of Canna,BLKI783_2020
Isle of May,BLKI684_2019
Kara Gate,BLKI200_2020
Kippaku,BLKI039_2020
Kongsfjorden,BLKI758_2020
Langanes,BLKI132_2017
Skjalfandi,BLKI328_2016
Sermilinnguaq,BLKI033_2020
Rockabill,BLKI686_2020
Røst,BLKI133_2017
Runde and Alesund,BLKI274_2019
Russkaya Gavan,BLKI201_2020
Sklinna,BLKI826_2015
Witless Bay,BLKI304_2020
