"colony","ring","col_lat","col_lon","min_lay","min_subset","max_subset"
"Alkefjellet","BLKI904",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI535",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI442",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI536",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI905",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI443",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI719",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI155",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI276",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI744",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI458",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI559",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI560",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI088",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI374",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI837",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI178",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI089",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI651",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI179",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI838",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI375",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI652",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI745",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI561",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI376",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI180",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI929",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI562",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI563",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI181",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI564",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI277",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI653",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI278",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI746",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI182",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI654",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI183",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI459",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI747",79.585,18.459,"06-08","05-25","08-18"
"Alkefjellet","BLKI090",79.585,18.459,"06-08","05-25","08-18"
